index,rank,gold_left,traits_count,total_damage_to_players,Set6_Academy,Set6_Arcanist,Set6_Assassin,Set6_Bodyguard,Set6_Bruiser,Set6_Challenger,Set6_Chemtech,Set6_Colossus,Set6_Clockwork,Set6_Cuddly,Set6_Enchanter,Set6_Enforcer,Set6_Glutton,Set6_Imperial,Set6_Innovator,Set6_Mercenary,Set6_Mutant,Set6_Protector,Set6_Scholar,Set6_Scrap,Set6_Sister,Set6_Sniper,Set6_Socialite,Set6_Syndicate,Set6_Transformer,Set6_Twinshot,Set6_Yordle
116,1,4,15,224,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0
117,2,1,10,124,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118,6,0,8,96,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0
119,4,16,11,97,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
120,3,1,8,135,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
121,7,49,9,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
122,1,2,12,246,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
123,8,167,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,5,33,9,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
125,4,1,10,106,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0
126,6,12,10,97,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
127,2,1,9,189,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
128,5,0,9,71,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2
129,6,14,10,57,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
130,2,1,9,125,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2
131,1,2,9,208,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132,4,8,11,82,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2
133,7,61,11,57,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
134,3,1,10,98,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
135,8,49,10,45,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
136,6,31,8,67,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
137,2,1,9,135,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0
138,4,24,15,85,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0
139,5,66,10,69,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0
140,7,2,8,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
141,8,1,7,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
142,3,1,8,85,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
143,1,2,11,246,0,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
144,5,2,11,96,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
145,4,10,8,122,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,1,5,10,166,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
147,2,1,11,170,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,8,1,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
149,3,31,12,114,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
150,7,1,9,39,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
151,6,40,9,62,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
152,8,41,16,45,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
153,6,13,8,64,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
154,3,4,11,115,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0
155,1,1,10,175,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
156,5,1,12,98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0
157,2,13,11,179,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,3,0
158,7,1,9,49,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
159,4,14,10,116,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,1,1,0,0,2,0,1,0,0
160,8,41,13,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0
161,2,1,12,120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0
162,1,2,11,248,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
163,5,0,8,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
164,4,116,10,76,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
165,6,1,8,68,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0
166,7,3,9,33,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
167,3,7,13,91,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0
168,1,2,11,197,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0
169,4,1,11,112,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
170,5,1,10,79,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0
171,7,10,7,31,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0
172,6,2,7,79,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
173,3,0,8,163,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
174,2,1,9,151,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,1,0,0,0,1,0
175,8,3,11,18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
176,2,0,15,156,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,1,0,1,0,0,0,1,1,0
177,5,14,8,60,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,6,1,9,54,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
179,3,1,11,113,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,3,0,1,0,0
180,1,2,10,179,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
181,8,109,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
182,4,1,11,126,1,0,0,0,1,2,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
183,7,27,16,62,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
184,7,30,8,44,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0
185,5,13,11,51,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
186,1,1,12,209,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0
187,2,10,8,169,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0
188,8,71,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
189,3,0,10,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0
190,4,51,9,98,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
191,6,89,8,56,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
192,1,2,8,231,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,4,4,10,96,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
194,8,97,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,7,4,9,41,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
196,3,20,9,178,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,1,0
197,2,1,11,190,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0
198,6,53,9,65,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0
199,5,0,14,63,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
200,1,10,11,139,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0
